"Date: 2024-05-18+0000"
"Version: 7.1"
"Status: 
0 Normal
1 Completed
2 Archived"
"Folder Name","List Name","Title","Kind","Tags","Content","Is Check list","Start Date","Due Date","Reminder","Repeat","Priority","Status","Created Time","Completed Time","Order","Timezone","Is All Day","Is Floating","Column Name","Column Order","View Mode","taskId","parentId"
"","MacBrooks Incomplete✅","Chrome flags [MacBrooks Incomplete✅.md](obsidian://open?vault=Kipp's%20Vault&file=MacBrooks%20Incomplete%E2%9C%85.md)","TEXT","ticktick","","N","","","","","0","2","2023-11-19T12:41:04+0000","2024-05-18T06:11:36+0000","5497558138880","America/Chicago","false","false",,,"list","33",""
"","MacBrooks Incomplete✅","Prevent any private folders from being easily searched [MacBrooks Incomplete✅.md](obsidian://open?vault=Kipp's%20Vault&file=MacBrooks%20Incomplete%E2%9C%85.md)","TEXT","ticktick","","N","","","","","0","0","2023-11-19T12:42:24+0000","","6047313952768","America/Chicago","false","false","Not Sectioned","0","list","34",""
"","MacBrooks Incomplete✅","What the fuck is a snippet [MacBrooks Incomplete✅.md](obsidian://open?vault=Kipp's%20Vault&file=MacBrooks%20Incomplete%E2%9C%85.md)","TEXT","ticktick","","N","","","","","0","2","2023-11-19T12:44:22+0000","2024-05-18T06:11:37+0000","6597069766656","America/Chicago","false","false",,,"list","35",""
"","MacBrooks Incomplete✅","Change that busy-ass primary desktop wallpaper [MacBrooks Incomplete✅.md](obsidian://open?vault=Kipp's%20Vault&file=MacBrooks%20Incomplete%E2%9C%85.md)","TEXT","ticktick","","N","","","","","0","0","2023-11-19T12:45:44+0000","","7146825580544","America/Chicago","false","false","Not Sectioned","0","list","36",""
"","MacBrooks Incomplete✅","Re-instate typical display/sleep/screen saver settings [MacBrooks Incomplete✅.md](obsidian://open?vault=Kipp's%20Vault&file=MacBrooks%20Incomplete%E2%9C%85.md)","TEXT","ticktick","","N","","","","","0","0","2023-11-19T12:46:02+0000","","7696581394432","America/Chicago","false","false","Not Sectioned","0","list","37",""
"","MacBrooks Incomplete✅","Lock Screen message [MacBrooks Incomplete✅.md](obsidian://open?vault=Kipp's%20Vault&file=MacBrooks%20Incomplete%E2%9C%85.md)","TEXT","ticktick","","N","","","","","0","2","2023-11-19T13:12:18+0000","2024-05-18T06:11:38+0000","8246337208320","America/Chicago","false","false",,,"list","38",""
"","MacBrooks Incomplete✅","Power supplies [MacBrooks Incomplete✅.md](obsidian://open?vault=Kipp's%20Vault&file=MacBrooks%20Incomplete%E2%9C%85.md)","TEXT","ticktick","","N","","","","","0","2","2023-12-30T12:02:48+0000","2024-05-18T06:11:38+0000","8796093022208","America/Chicago","false","false",,,"list","39",""
"","MacBrooks Incomplete✅","Mount arm/pole [MacBrooks Incomplete✅.md](obsidian://open?vault=Kipp's%20Vault&file=MacBrooks%20Incomplete%E2%9C%85.md)","TEXT","ticktick","","N","","","","","0","2","2023-12-30T12:03:06+0000","2024-05-18T06:11:38+0000","9345848836096","America/Chicago","false","false",,,"list","40",""
"","MacBrooks Incomplete✅","2 extra long idmi [MacBrooks Incomplete✅.md](obsidian://open?vault=Kipp's%20Vault&file=MacBrooks%20Incomplete%E2%9C%85.md)","TEXT","ticktick","","N","","","","","0","2","2023-12-30T12:03:27+0000","2024-05-18T06:11:38+0000","9895604649984","America/Chicago","false","false",,,"list","41",""
"","MacBrooks Incomplete✅","Under lighting [MacBrooks Incomplete✅.md](obsidian://open?vault=Kipp's%20Vault&file=MacBrooks%20Incomplete%E2%9C%85.md)","TEXT","ticktick","","N","","","","","0","2","2023-12-30T12:03:37+0000","2024-05-18T06:11:38+0000","10445360463872","America/Chicago","false","false",,,"list","42",""
